Location name,Amount spent (SEK)
Blekinge County,3402
Dalarna County,6700
Gotland County,1496
Gävleborg County,6939
Halland County,6624
Jämtland County,3383
Jönköping County,7813
Kalmar County,4970
Kronoberg County,3991
Norrbotten County,6175
Skåne County,34297
Stockholm County,62684
Södermanland County,6769
Unknown,≤100
Uppsala County,9746
Värmland County,6125
Västerbotten County,6745
Västernorrland County,5574
Västmanland County,6898
Västra Götaland County,46173
Örebro County,7577
Östergötland County,11114
