Location name,Amount spent (HUF)
Baranya County,95931
Borsod-Abaúj-Zemplén County,155740
Budapest,553006
Bács-Kiskun County,119574
Békés County,86609
Csongrád County,110708
Fejér County,101697
Győr-Moson-Sopron County,119609
Hajdú-Bihar County,169617
Heves County,73595
Jász-Nagykun-Szolnok County,92396
Komárom-Esztergom County,74403
Nógrád County,47002
Pest County,261097
Somogy County,70933
Szabolcs-Szatmár-Bereg County,136950
Tolna County,59504
Unknown,≤100
Vas County,62464
Veszprém County,85628
Zala County,67010
