Location name,Amount spent (IDR)
Aceh,3754896
Bali,2798636
Bangka–Belitung Islands,843743
Banten,4720755
Bengkulu,1502802
Central Java,15507749
Central Kalimantan,1334110
Central Sulawesi,1599441
East Java,13465137
East Kalimantan,3616007
East Nusa Tenggara,2720990
Gorontalo,1194549
Jakarta,18865454
Jambi,1664447
Lampung,6162043
Maluku,2010957
North Kalimantan,727868
North Maluku,794215
North Sulawesi,3803427
North Sumatra,6353885
Papua (province),1122454
Riau,3079951
Riau Islands Province,1691796
South Kalimantan,1679989
South Sulawesi,7738110
South Sumatra,6785757
Southeast Sulawesi,1335144
Special Region of Yogyakarta,1623788
Unknown,22675
West Java,20008185
West Kalimantan,2939377
West Nusa Tenggara,2135575
West Papua,668545
West Sulawesi,934512
West Sumatra,4004962
