Location name,Amount spent (PLN)
Greater Poland Voivodeship,6242
Kuyavian-Pomeranian Voivodeship,3483
Lesser Poland Voivodeship,5475
Lower Silesian Voivodeship,4712
Lublin Voivodeship,2438
Lubusz Voivodeship,1542
Masovian Voivodeship,11225
Opole Voivodeship,1234
Podkarpackie Voivodeship,2274
Podlaskie Voivodeship,1257
Pomeranian Voivodeship,3540
Silesian Voivodeship,5587
Unknown,≤100
Warmian-Masurian Voivodeship,1624
West Pomeranian Voivodeship,2392
Łódź Voivodeship,3739
Świętokrzyskie Voivodeship,1341
