Location name,Amount spent (PLN)
Greater Poland Voivodeship,3913
Kuyavian-Pomeranian Voivodeship,2378
Lesser Poland Voivodeship,3874
Lower Silesian Voivodeship,3565
Lublin Voivodeship,1796
Lubusz Voivodeship,810
Masovian Voivodeship,7436
Opole Voivodeship,707
Podkarpackie Voivodeship,1439
Podlaskie Voivodeship,860
Pomeranian Voivodeship,2510
Silesian Voivodeship,3616
Unknown,≤100
Warmian-Masurian Voivodeship,1118
West Pomeranian Voivodeship,1596
Łódź Voivodeship,2494
Świętokrzyskie Voivodeship,956
