Location name,Amount spent (PEN)
Amazonas Region,112
Ancash Region,594
Apurímac Region,166
Arequipa Region,899
Ayacucho Region,300
Cajamarca Region,476
Callao,345
Cusco Region,631
Huancavelica Region,≤100
Huánuco Region,281
Ica Region,603
Junín Region,520
La Libertad Region,1014
Lambayeque Region,707
Lima Region,5989
Loreto Region,311
Madre de Dios Region,132
Moquegua Region,168
Pasco Region,114
Piura Region,1012
Puno Region,781
San Martín Region,323
Tacna Region,269
Tumbes Region,144
Ucayali Region,250
Unknown,≤100
