Location name,Amount spent (USD)
Azuay Province,5503
Bolívar Province,339
Carchi Province,365
Cañar Province,897
Chimborazo Province,1410
Cotopaxi Province,1491
El Oro Province,5077
Esmeraldas Province,1676
Galápagos Province,506
Guayas Province,12324
Imbabura Province,1488
Loja Province,1193
Los Ríos Province,4749
Manabí Province,6698
Morona-Santiago Province,318
Napo Province,192
Orellana Province,1112
Pastaza Province,555
Pichincha Province,8657
Santa Elena Province,1305
Santo Domingo de los Tsáchilas Province,2448
Sucumbíos Province,1121
Tungurahua Province,1328
Unknown,≤100
Zamora-Chinchipe Province,229
