Location name,Amount spent (PYG)
Alto Paraguay Department,88232
Alto Paraná Department,8635907
Amambay Department,1188113
Asunción,8889471
Boquerón department,410569
Caaguazú Department,3023596
Caazapá Department,760198
Canindeyú Department,1702950
Central Department,20316828
Concepción Department (Paraguay),1240542
Cordillera Department,2391593
Guairá Department,1624708
Itapúa Department,4293300
Misiones Department,1153207
Paraguarí Department,997637
Presidente Hayes Department,1210229
San Pedro Department,1399137
Unknown,8059
Ñeembucú Department,640466
