Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,4375,4
117923164930140,Lifandi vísindi- Lifandi saga,Lifandi vísindi- Lifandi saga,1350,5
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,961,29
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,430,1
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,252,2
154893001218870,ADHD samtökin,ADHD samtökin,156,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,7
122522717506421,3D All Over Print Shirts,These ads ran without a disclaimer,≤100,1
317158175535179,BitLife,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
550751965021284,Success Resources,These ads ran without a disclaimer,≤100,1
107776705744280,,These ads ran without a disclaimer,≤100,1
100142840161003,Billy Gene Is A.I. & XR Marketing,These ads ran without a disclaimer,≤100,2
106950715510480,Luciana Ponce,These ads ran without a disclaimer,≤100,1
130467394263248,Dyness,These ads ran without a disclaimer,≤100,1
109353154135430,E.N. Publishing,These ads ran without a disclaimer,≤100,1
