Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,≤100
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,110
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,141
Junín Region,≤100
La Libertad Region,234
Lambayeque Region,≤100
Lima Region,824
Loreto Region,101
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,151
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
