Location name,Amount spent (USD)
Arkhangai Province,≤100
Bayan-Ölgii Province,≤100
Bayankhongor Province,≤100
Bulgan Province,≤100
Darkhan-Uul Province,≤100
Dornod Province,≤100
Dornogovi Province,≤100
Dundgovi Province,≤100
Govi-Altai Province,≤100
Khentii Province,≤100
Khovd Province,≤100
Khövsgöl Province,≤100
Orkhon Province,≤100
Selenge Province,≤100
Sükhbaatar Province,≤100
Töv Province,≤100
Ulan Bator,262
Uvs Province,≤100
Zavkhan Province,≤100
Ömnögovi Province,≤100
Övörkhangai Province,≤100
