Location name,Amount spent (TRY)
Adana Province,548
Adıyaman Province,≤100
Afyonkarahisar Province,105
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1672
Antalya Province,1391
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,180
Ağrı Province,≤100
Balıkesir Province,253
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,419
Denizli Province,162
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,125
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,156
Gaziantep Province,178
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,242
Isparta Province,≤100
Istanbul Province,3684
Iğdır Province,≤100
Kahramanmaraş Province,152
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,228
Kilis Province,≤100
Kocaeli Province,156
Konya Province,1242
Kütahya Province,≤100
Kırklareli Province,237
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,524
Mardin Province,≤100
Mersin Province,394
Muğla Province,179
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,104
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,163
Samsun Province,388
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,512
Tokat Province,313
Trabzon Province,109
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,169
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1521
Şanlıurfa Province,107
Şırnak Province,≤100
