Location name,Amount spent (CAD)
Alberta,8054
British Columbia,8269
Manitoba,7140
New Brunswick,828
Newfoundland and Labrador,660
Northwest Territories,≤100
Nova Scotia,1234
Nunavut,≤100
Ontario,30509
Prince Edward Island,135
Quebec,22592
Saskatchewan,1876
Unknown,≤100
Yukon,≤100
