Location name,Amount spent (VND)
An Giang Province,11046
Bà Rịa–Vũng Tàu Province,14713
Bình Dương Province,13407
Bình Phước Province,7809
Bình Thuận Province,11210
Bình Định Province,34198
Bạc Liêu Province,3955
Bắc Giang Province,15761
Bắc Kạn Province,10934
Bắc Ninh Province,154889
Bến Tre Province,5808
Cao Bằng Province,47569
Cà Mau Province,5208
Cần Thơ,8584
Da Nang,18174
Gia Lai Province,8441
Haiphong,19067
Ho Chi Minh City,58002
Hà Giang Province,2687
Hà Nam Province,7702
Hà Tĩnh Province,9841
Hòa Bình Province,5055
Hưng Yên Province,7611
Hải Dương Province,17163
Hậu Giang Province,3219
Khánh Hòa Province,10889
Kiên Giang Province,7463
Kon Tum Province,3957
Lai Châu Province,903
Long An Province,9879
Lào Cai Province,3669
Lâm Đồng Province,9794
Lạng Sơn Province,5517
Nam Định Province,14726
Nghệ An Province,69677
Ninh Bình Province,5973
Ninh Thuận Province,14092
Phú Thọ Province,10080
Phú Yên Province,6920
Quảng Bình Province,5378
Quảng Nam Province,13448
Quảng Ngãi Province,9666
Quảng Ninh Province,11294
Quảng Trị Province,6964
Sóc Trăng Province,7049
Sơn La Province,6518
Thanh Hóa Province,19119
Thái Bình Province,98207
Thái Nguyên Province,144477
Thừa Thiên–Huế Province,15900
Tiền Giang Province,9594
Trà Vinh Province,4647
Tuyên Quang Province,5493
Tây Ninh Province,9141
Vĩnh Long Province,6175
Vĩnh Phúc Province,7436
Yên Bái Province,4853
Điện Biên Province,3598
Đắk Lắk Province,94344
Đắk Nông Province,3255
Đồng Nai Province,28070
Đồng Tháp Province,7497
