Location name,Amount spent (EGP)
Al Sharqia Governorate,1320
Alexandria Governorate,1624
Aswan Governorate,245
Asyut Governorate,502
Beheira Governorate,731
Beni Suef Governorate,492
Cairo Governorate,3719
Dakahlia Governorate,1756
Damietta Governorate,347
Faiyum Governorate,394
Gharbia Governorate,1312
Giza Governorate,1292
Ismailia Governorate,467
Kafr el-Sheikh Governorate,485
Luxor Governorate,191
Matrouh Governorate,≤100
Minya Governorate,593
Monufia Governorate,1030
New Valley Governorate,≤100
North Sinai Governorate,113
Port Said Governorate,182
Qalyubia Governorate,879
Qena Governorate,396
Red Sea Governorate,142
Sohag Governorate,597
South Sinai Governorate,≤100
Suez Governorate,163
Unknown,≤100
