Location name,Amount spent (COP)
Amazonas,16992
Antioquia,6691930
Arauca,121777
Atlantico,757421
Bolivar,398450
Boyaca,784948
Caldas,261552
Caqueta,120723
Casanare,274291
Cauca,233371
Cesar,190111
Choco,74548
Cordoba,495627
Cundinamarca,1142871
Distrito Especial,3688745
Guainia,1559
Guaviare,20377
Huila,398768
La Guajira,91026
Magdalena,453187
Meta,644432
Narino,166577
Norte de Santander,895557
Putumayo,317166
Quindio,133930
Risaralda,570517
San Andres y Providencia,12705
Santander,1039331
Sucre,497423
Tolima,481402
Unknown,995
Valle del Cauca,3136379
Vaupes,791
Vichada,1774
