Location name,Amount spent (EGP)
Al Sharqia Governorate,882
Alexandria Governorate,896
Aswan Governorate,347
Asyut Governorate,316
Beheira Governorate,386
Beni Suef Governorate,152
Cairo Governorate,1779
Dakahlia Governorate,722
Damietta Governorate,161
Faiyum Governorate,144
Gharbia Governorate,506
Giza Governorate,720
Ismailia Governorate,216
Kafr el-Sheikh Governorate,341
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,365
Monufia Governorate,310
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,≤100
Qalyubia Governorate,460
Qena Governorate,193
Red Sea Governorate,≤100
Sohag Governorate,473
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
