Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
26698813123,British Red Cross,British Red Cross,51032,6
100771226087265,Susie's Tips,Susie's Tips,10793,23
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee (DEC),10410,90
7715002593,UNICEF UK,Unicef UK,8170,6
220543443746,International Rescue Committee - UK,International Rescue Committee UK,6951,6
311627208673,WWF UK,WWF UK,3023,81
18933154958,CARE International UK,CARE International UK,2437,41
9250349228,Greenpeace UK,Greenpeace UK,2369,42
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,2225,67
799576543492660,The Week Junior,The Week Junior,1787,50
10677003998,Shelter,Shelter,1737,264
158077247591710,Refuge,Refuge,1600,118
7527864602,WaterAid UK,WaterAid UK,1399,58
121936349543,World Vision UK,World Vision UK,1388,34
713179875369048,London Gov,The Greater London Authority,1321,12
35671512696,World Animal Protection UK,World Animal Protection UK,1217,72
483680375497477,Shell Energy,Shell Energy Retail Limited,1076,20
514212165305248,Leigh Day,Leigh Day,939,93
102639461303190,Fair Pay For All,Fair Pay For All,912,38
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,836,6
353224381469808,ifaw,IFAW,828,15
13047522725,Crimestoppers,Crimestoppers,814,102
1613092172114946,DWP Digital,Department for Work and Pensions,788,4
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),786,40
21242962092,ClientEarth,ClientEarth,737,12
103359739162746,The News Agents,The News Agents,658,1
177855115588808,The Week UK,The Week UK,639,28
698773137204706,Give My View,Built-ID,602,9
1738524969810037,Mission India UK,Mission India UK,586,4
348366988862054,Oxfam Campaigns,Oxfam Great Britain,579,10
39605200520,ActionAid UK,ActionAid UK,578,37
18168505158,The Woodland Trust,Woodland Trust,566,52
101255718164248,350 UK,350.org,506,11
841894835830532,Electoral Commission UK,Electoral Commission UK,466,15
165099760197787,Welsh Government,Welsh Government,463,163
106946654868342,Water's Worth Saving,Water UK,460,136
7624294394,Amnesty International UK,Amnesty International UK,413,18
7043497714,Christian Aid,Christian Aid,411,3
