Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,151
Apurímac Region,≤100
Arequipa Region,108
Ayacucho Region,≤100
Cajamarca Region,181
Callao,≤100
Cusco Region,187
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,111
Junín Region,110
La Libertad Region,232
Lambayeque Region,207
Lima Region,1296
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,1416
Puno Region,≤100
San Martín Region,165
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
