Location name,Amount spent (PYG)
Alto Paraguay Department,15926
Alto Paraná Department,285895
Amambay Department,22279
Asunción,345766
Boquerón department,17486
Caaguazú Department,104868
Caazapá Department,9858
Canindeyú Department,17783
Central Department,1291106
Concepción Department (Paraguay),40911
Cordillera Department,50859
Guairá Department,24832
Itapúa Department,72594
Misiones Department,41286
Paraguarí Department,26021
Presidente Hayes Department,24224
San Pedro Department,26015
Unknown,≤100
Ñeembucú Department,26788
