Location name,Amount spent (TWD)
Changhua,7209
Chiayi,1720
Hsinchu,4274
Hsinchu City,7329
Hualien,3078
Kaohsiung,26011
Keelung City,3822
Kinmen,463
Lienchiang,≤100
Miaoli,3429
Nantou,2997
New Taipei City,41450
Penghu,618
Pingtung,4945
Taichung,32027
Tainan,16447
Taipei,37243
Taitung,1967
Taoyuan City,25019
Unknown,4025
Yilan,2891
Yunlin,4014
