Location name,Amount spent (USD)
Azuay Province,306
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,165
Cotopaxi Province,131
El Oro Province,301
Esmeraldas Province,174
Galápagos Province,≤100
Guayas Province,1415
Imbabura Province,156
Loja Province,164
Los Ríos Province,313
Manabí Province,565
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,973
Santa Elena Province,141
Santo Domingo de los Tsáchilas Province,141
Sucumbíos Province,≤100
Tungurahua Province,189
Unknown,≤100
Zamora-Chinchipe Province,≤100
