Location name,Amount spent (AUD)
Australian Capital Territory,1088
Jervis Bay Territory,≤100
New South Wales,18983
Norfolk Island,≤100
Northern Territory,568
Queensland,15421
South Australia,4362
Tasmania,2264
Unknown,657
Victoria,19102
Western Australia,8100
