Location name,Amount spent (PLN)
Greater Poland Voivodeship,3418
Kuyavian-Pomeranian Voivodeship,1617
Lesser Poland Voivodeship,3328
Lower Silesian Voivodeship,2631
Lublin Voivodeship,1314
Lubusz Voivodeship,875
Masovian Voivodeship,6058
Opole Voivodeship,688
Podkarpackie Voivodeship,1368
Podlaskie Voivodeship,866
Pomeranian Voivodeship,2993
Silesian Voivodeship,3863
Unknown,≤100
Warmian-Masurian Voivodeship,1183
West Pomeranian Voivodeship,1750
Łódź Voivodeship,2166
Świętokrzyskie Voivodeship,826
