Location name,Amount spent (PYG)
Alto Paraguay Department,150625
Alto Paraná Department,7175622
Amambay Department,710022
Asunción,4808680
Boquerón department,328362
Caaguazú Department,3261042
Caazapá Department,694121
Canindeyú Department,728314
Central Department,13833679
Concepción Department (Paraguay),779900
Cordillera Department,1332653
Guairá Department,1237228
Itapúa Department,3307536
Misiones Department,571959
Paraguarí Department,772707
Presidente Hayes Department,601387
San Pedro Department,1382146
Unknown,416
Ñeembucú Department,497722
