Location name,Amount spent (RON)
Alba County,405
Arad County,504
Argeș County,686
Bacău County,778
Bihor County,751
Bistrița-Năsăud County,317
Botoșani County,542
Brașov County,910
Brăila County,308
Bucharest,3913
Buzău County,365
Caraș-Severin County,276
Cluj County,1638
Constanța County,1006
Covasna County,448
Călărași County,363
Dolj County,802
Dâmbovița County,538
Galați County,670
Giurgiu County,165
Gorj County,350
Harghita County,670
Hunedoara County,749
Ialomița County,333
Iași County,2319
Ilfov County,551
Maramureș County,569
Mehedinți County,242
Mureș County,824
Neamț County,636
Olt County,268
Prahova County,1081
Satu Mare County,458
Sibiu County,488
Suceava County,1094
Sălaj County,296
Teleorman County,273
Timiș County,1419
Tulcea County,163
Unknown,≤100
Vaslui County,336
Vrancea County,333
Vâlcea County,328
