Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,141882,18
105116352958747,ÖBÍ réttindasamtök,ÖBÍ réttindasamtök,16867,1
152804904889,Samfylkingin,Samfylkingin,11148,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,3610,2
737169626371453,Stundin,Stundin,3313,2
154893001218870,ADHD samtökin,ADHD samtökin,1986,3
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1949,1
196907954119033,Orkustofnun,Orkustofnun,1530,1
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,1110,3
156161194561570,Kjarninn,Kjarninn,1010,1
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,878,1
573559522797177,Flokkur fólksins,Flokkur Fólksins,820,5
709976082356679,Samfylkingin í Kópavogi,Samfylkingin Kópavogi,808,1
276274722490886,Alþýðusamband Íslands - ASÍ,Alþýðusamband Íslands - ASÍ,762,1
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,742,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,683,10
111272101809153,Select 24,These ads ran without a disclaimer,143,1
113524458268944,Wiadomości dnia,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
103538675856093,Мировые новости,These ads ran without a disclaimer,≤100,1
111821371767941,Day in 24,These ads ran without a disclaimer,≤100,1
17164098244,JM International,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
106803408804138,House Of Fun,These ads ran without a disclaimer,≤100,1
60516116431,Člověk v tísni,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,2
105643289041104,Fairschic,These ads ran without a disclaimer,≤100,1
108937341961976,Новости Дня,These ads ran without a disclaimer,≤100,1
