Location name,Amount spent (ZAR)
Eastern Cape,490
Free State,487
Gauteng,2157
KwaZulu-Natal,883
Limpopo,458
Mpumalanga,337
North West,254
Northern Cape,≤100
Unknown,≤100
Western Cape,3205
