Location name,Amount spent (RON)
Alba County,803
Arad County,1241
Argeș County,1328
Bacău County,1505
Bihor County,1505
Bistrița-Năsăud County,678
Botoșani County,711
Brașov County,1891
Brăila County,591
Bucharest,7680
Buzău County,780
Caraș-Severin County,532
Cluj County,2479
Constanța County,1852
Covasna County,592
Călărași County,464
Dolj County,1336
Dâmbovița County,944
Galați County,1086
Giurgiu County,457
Gorj County,925
Harghita County,646
Hunedoara County,1015
Ialomița County,399
Iași County,3672
Ilfov County,1304
Maramureș County,1003
Mehedinți County,731
Mureș County,1728
Neamț County,1110
Olt County,730
Prahova County,1790
Satu Mare County,762
Sibiu County,1147
Suceava County,1703
Sălaj County,455
Teleorman County,565
Timiș County,2799
Tulcea County,369
Unknown,≤100
Vaslui County,684
Vrancea County,847
Vâlcea County,676
