Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,888
Bicol Region,5762
Cagayan Valley,2871
Calabarzon,23199
Caraga,1498
Central Luzon,11854
Central Visayas,6419
Cordillera Administrative Region,1328
Davao Region,5820
Eastern Visayas,3743
Ilocos Region,4109
Metro Manila,46468
Mimaropa,2531
Northern Mindanao,2745
Soccsksargen,2713
Unknown,≤100
Western Visayas,9778
Zamboanga Peninsula,2600
