Location name,Amount spent (JPY)
Aichi Prefecture,29317
Akita Prefecture,2821
Aomori Prefecture,2801
Chiba Prefecture,26430
Ehime Prefecture,4246
Fukui Prefecture,5076
Fukuoka Prefecture,34293
Fukushima Prefecture,4854
Gifu Prefecture,10289
Gunma Prefecture,5628
Hiroshima Prefecture,9585
Hokkaido,19936
Hyōgo Prefecture,20318
Ibaraki Prefecture,8695
Ishikawa Prefecture,4562
Iwate Prefecture,3021
Kagawa Prefecture,4201
Kagoshima Prefecture,4406
Kanagawa Prefecture,50282
Kumamoto Prefecture,7632
Kyoto Prefecture,13587
Kōchi Prefecture,1613
Mie Prefecture,5839
Miyagi Prefecture,13462
Miyazaki Prefecture,3931
Nagano Prefecture,7315
Nagasaki Prefecture,5704
Nara Prefecture,4614
Niigata Prefecture,5831
Okayama Prefecture,15291
Okinawa Prefecture,9304
Osaka Prefecture,34784
Saga Prefecture,3943
Saitama Prefecture,29757
Shiga Prefecture,5094
Shimane Prefecture,3274
Shizuoka Prefecture,11118
Tochigi Prefecture,5392
Tokushima Prefecture,2586
Tokyo,100250
Tottori Prefecture,1321
Toyama Prefecture,3915
Unknown,≤100
Wakayama Prefecture,3051
Yamagata Prefecture,3195
Yamaguchi Prefecture,4168
Yamanashi Prefecture,3151
Ōita Prefecture,5236
