Location name,Amount spent (INR)
Andaman and Nicobar Islands,173
Andhra Pradesh,120321
Arunachal Pradesh,757
Assam,14879
Bihar,24987
Chandigarh,1783
Chhattisgarh,103469
Dadra and Nagar Haveli,1278
Delhi,39738
Goa,2721
Gujarat,42177
Haryana,25792
Himachal Pradesh,9629
Jammu and Kashmir,4025
Jharkhand,12478
Karnataka,39248
Kerala,9368
Lakshadweep,≤100
Madhya Pradesh,105334
Maharashtra,149582
Manipur,190
Meghalaya,1960
Mizoram,2732
Nagaland,515
Odisha,32395
Puducherry,639
Punjab region,23365
Rajasthan,101172
Sikkim,612
Tamil Nadu,28349
Telangana,45414
Tripura,1431
Unknown,103
Uttar Pradesh,80275
Uttarakhand,8132
West Bengal,101198
