Location name,Amount spent (THB)
Amnat Charoen,135
Ang Thong,≤100
Ayutthaya,1267
Bangkok,33930
Bueng Kan,≤100
Buriram,333
Chachoengsao,2401
Chai Nat,155
Chaiyaphum,200
Chanthaburi,180
Chiang Mai,6512
Chiang Rai,771
Chon Buri,16145
Chumphon,399
Kalasin,237
Kamphaeng Phet,990
Kanchanaburi,531
Khon Kaen,573
Krabi,305
Lampang,320
Lamphun,323
Loei,145
Lop Buri,163
Mae Hong Son,272
Maha Sarakham,232
Mukdahan,117
Nakhon Nayok,≤100
Nakhon Pathom,2984
Nakhon Phanom,339
Nakhon Ratchasima,749
Nakhon Sawan,272
Nakhon Si Thammarat,1776
Nan,137
Narathiwat,183
Nong Bua Lam Phu,247
Nong Khai,127
Nonthaburi,1848
Pathum Thani,1796
Pattani,218
Phangnga,256
Phatthalung,755
Phayao,458
Phetchabun,303
Phetchaburi,218
Phichit,260
Phitsanulok,2592
Phrae,122
Phuket,2057
Prachin Buri,229
Prachuap Khiri Khan,312
Ranong,103
Ratchaburi,922
Rayong,1159
Roi Et,273
Sa Kaeo,270
Sakon Nakhon,339
Samut Prakan,2522
Samut Sakhon,863
Samut Songkhram,645
Saraburi,221
Satun,178
Sing Buri,≤100
Sisaket,326
Songkhla,4046
Sukhothai,331
Suphan Buri,427
Surat Thani,11844
Surin,306
Tak,154
Trang,304
Trat,≤100
Ubon Ratchathani,495
Udon Thani,474
Unknown,≤100
Uthai Thani,125
Uttaradit,136
Yala Province,186
Yasothon,175
