Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1372
Bicol Region,6208
Cagayan Valley,4547
Calabarzon,17720
Caraga,2609
Central Luzon,13340
Central Visayas,7396
Cordillera Administrative Region,3019
Davao Region,8030
Eastern Visayas,4915
Ilocos Region,7939
Metro Manila,31481
Mimaropa,2836
Northern Mindanao,4859
Soccsksargen,5361
Unknown,≤100
Western Visayas,9514
Zamboanga Peninsula,3040
