Location name,Amount spent (COP)
Amazonas,1413
Antioquia,1724648
Arauca,15291
Atlantico,626018
Bolivar,220207
Boyaca,100530
Caldas,153741
Caqueta,76975
Casanare,34940
Cauca,168398
Cesar,69080
Choco,21550
Cordoba,121145
Cundinamarca,334508
Distrito Especial,4800060
Guainia,1063
Guaviare,3265
Huila,263186
La Guajira,37992
Magdalena,153044
Meta,130541
Narino,142560
Norte de Santander,105537
Putumayo,30682
Quindio,83348
Risaralda,263684
San Andres y Providencia,8026
Santander,169650
Sucre,70857
Tolima,185096
Unknown,179
Valle del Cauca,2272927
Vaupes,408
Vichada,740
