Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,6691,9
1239026999516818,Luis Fernando Camacho,Luis Fernando Camacho,730,2
964080723662055,Carlos Subirana Responde,Editorial CSS,249,3
106403237850347,Goberna Bolivia,Goberna,144,12
109201057318552,JCSV,Fernando Omar Rosales Perez,131,2
217948432069023,Bolivia Maya,Bolivia Maya,124,1
101172058907487,Victor Alejandro Contreras - Concejal,Victor Alejandro Contreras Chui,≤100,1
1967100150206417,Instituto de Formación Femenina Integral - IFFI,Maya Fatima Garcia Rodriguez,≤100,3
127871740620547,Agustín Zambrana en El Bunker,Walter Agustin Zambrana Arze,≤100,1
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100,2
105941541719195,Concejo Municipal de El Alto,Ronald Wilson Morales Llerena,≤100,1
269633369881331,Senador Rodrigo Paz,Gabriela Pacello Guillen,≤100,3
2328823850688165,José M. Ormachea,José M. Ormachea,≤100,2
102652851097134,Oscar Balderas Diputado,Oscar Alberto Balderas Montaño,≤100,2
108470064614085,Rogelio Maldonado Concejal,Ronald Wilson Morales Llerena,≤100,2
113795884973581,Posgrado UPEA,Luis Alejandro Urrutia Monrroy,≤100,1
1947703858861720,Mayra Zalles - Diputada,Mayra Ingrid Zalles Trigo,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
381920638544893,Soy Santa Cruz Bolivia,These ads ran without a disclaimer,≤100,1
517750071766113,SEDES - BENI,Cedecap Bolivia,≤100,1
113371878345174,Tarija al día,hypertienda,≤100,1
128794501288356,Estudia en Posgrado UPEA,These ads ran without a disclaimer,≤100,1
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,≤100,1
439733729429081,"US UCIA Corporation, Inc.",These ads ran without a disclaimer,≤100,1
146841588715199,Instituto de Investigaciones Antropológicas,These ads ran without a disclaimer,≤100,1
652712084864352,Aster Internacional,These ads ran without a disclaimer,≤100,1
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
103410222658639,adhoc_immigration,These ads ran without a disclaimer,≤100,1
107574164472383,CSGI,These ads ran without a disclaimer,≤100,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,1
564933036962750,MusicPromoToday,These ads ran without a disclaimer,≤100,1
140968269286088,Cinesa Venezuela,These ads ran without a disclaimer,≤100,1
