Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,453
Basra Governorate,104
Dhi Qar Governorate,110
Diyala Governorate,≤100
Dohuk Governorate,109
Erbil Governorate,269
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,116
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,158
Saladin Governorate,≤100
Sulaymaniyah Governorate,193
Unknown,≤100
Wasit Governorate,≤100
