Location name,Amount spent (MXN)
Aguascalientes,4296
Baja California,18496
Baja California Sur,2273
Campeche,11325
Chiapas,9882
Chihuahua,19274
Coahuila de Zaragoza,46016
Colima,13378
Distrito Federal,106648
Durango,8847
Guanajuato,34413
Guerrero,9243
Hidalgo,6330
Jalisco,58984
Michoacán de Ocampo,16424
Morelos,11982
Nayarit,5533
Nuevo León,123022
Oaxaca,9933
Puebla,19029
Querétaro Arteaga,12428
Quintana Roo,12395
San Luis Potosi,8689
Sinaloa,6405
Sonora,11610
State of Mexico,59424
Tabasco,5407
Tamaulipas,20992
Tlaxcala,2309
Unknown,≤100
Veracruz,25180
Yucatán,14938
Zacatecas,4039
