Location name,Amount spent (EUR)
Alsace,701
Aquitaine,1303
Auvergne,352
Basse-Normandie,392
Bourgogne,455
Bretagne,1015
Centre,791
Champagne-Ardenne,381
Corse,123
Franche-Comté,291
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,548
Languedoc-Roussillon,1157
Limousin,213
Lorraine,649
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,885
New Caledonia,≤100
Nord-Pas-de-Calais,1215
Pays de la Loire,1160
Picardie,493
Poitou-Charentes,504
Provence-Alpes-Côte d'Azur,2098
Reunion Island,≤100
Rhône-Alpes,2094
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3906
