Location name,Amount spent (NOK)
Akershus,5429
Aust-Agder,813
Buskerud,2103
Finnmark,625
Hedmark,1473
Hordaland,4658
Møre og Romsdal,3685
Nord-Trøndelag,1409
Nordland,2055
Oppland,1358
Oslo,10057
Rogaland,4638
Sogn og Fjordane,756
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,3692
Telemark,1965
Troms,1416
Unknown,≤100
Vest-Agder,1757
Vestfold,2874
Østfold,2211
