Location name,Amount spent (COP)
Amazonas,759
Antioquia,4580388
Arauca,7896
Atlantico,273367
Bolivar,91336
Boyaca,31659
Caldas,43469
Caqueta,44452
Casanare,10966
Cauca,67976
Cesar,37182
Choco,16440
Cordoba,96146
Cundinamarca,131868
Distrito Especial,1707450
Guainia,462
Guaviare,1829
Huila,763313
La Guajira,34176
Magdalena,42379
Meta,213916
Narino,53229
Norte de Santander,84669
Putumayo,7268
Quindio,39716
Risaralda,295595
San Andres y Providencia,3036
Santander,78062
Sucre,30426
Tolima,181960
Unknown,≤100
Valle del Cauca,772426
Vaupes,182
Vichada,382
