Location name,Amount spent (JPY)
Aichi Prefecture,31947
Akita Prefecture,1119
Aomori Prefecture,1751
Chiba Prefecture,15527
Ehime Prefecture,2825
Fukui Prefecture,1472
Fukuoka Prefecture,38794
Fukushima Prefecture,3065
Gifu Prefecture,3093
Gunma Prefecture,3663
Hiroshima Prefecture,5594
Hokkaido,9770
Hyōgo Prefecture,13586
Ibaraki Prefecture,5009
Ishikawa Prefecture,2107
Iwate Prefecture,1847
Kagawa Prefecture,2035
Kagoshima Prefecture,1959
Kanagawa Prefecture,37639
Kumamoto Prefecture,3699
Kyoto Prefecture,13916
Kōchi Prefecture,960
Mie Prefecture,3268
Miyagi Prefecture,11765
Miyazaki Prefecture,1877
Nagano Prefecture,4853
Nagasaki Prefecture,3167
Nara Prefecture,3182
Niigata Prefecture,2955
Okayama Prefecture,4277
Okinawa Prefecture,5811
Osaka Prefecture,24516
Saga Prefecture,2937
Saitama Prefecture,15805
Shiga Prefecture,2832
Shimane Prefecture,1078
Shizuoka Prefecture,9418
Tochigi Prefecture,3305
Tokushima Prefecture,1327
Tokyo,87331
Tottori Prefecture,739
Toyama Prefecture,1687
Unknown,≤100
Wakayama Prefecture,1643
Yamagata Prefecture,1504
Yamaguchi Prefecture,1956
Yamanashi Prefecture,2060
Ōita Prefecture,2569
