Location name,Amount spent (USD)
Alabama,7625
Alaska,2270
Arizona,13308
Arkansas,5635
California,75072
Colorado,12369
Connecticut,6409
Delaware,1714
Florida,43029
Georgia,17571
Guam,≤100
Hawaii,2086
Idaho,5712
Illinois,25275
Indiana,16916
Iowa,6111
Kansas,5314
Kentucky,8235
Louisiana,11498
Maine,2835
Maryland,15058
Massachusetts,10654
Michigan,20410
Minnesota,20420
Mississippi,4917
Missouri,11650
Montana,2814
Nebraska,3192
Nevada,5301
New Hampshire,2878
New Jersey,16557
New Mexico,5178
New York,43062
North Carolina,17951
North Dakota,1564
Ohio,18941
Oklahoma,8404
Oregon,8729
Pennsylvania,27919
Puerto Rico,≤100
Rhode Island,1469
South Carolina,8894
South Dakota,1257
Tennessee,12245
Texas,51271
Unknown,≤100
Utah,7058
Vermont,1464
Virgin Islands (U.S.),≤100
Virginia,21331
Washington,14605
"Washington, District of Columbia",8913
West Virginia,3927
Wisconsin,9674
Wyoming,1102
