Location name,Amount spent (JPY)
Aichi Prefecture,43828
Akita Prefecture,2626
Aomori Prefecture,3980
Chiba Prefecture,31147
Ehime Prefecture,5812
Fukui Prefecture,3317
Fukuoka Prefecture,65050
Fukushima Prefecture,6687
Gifu Prefecture,9496
Gunma Prefecture,7932
Hiroshima Prefecture,17114
Hokkaido,27443
Hyōgo Prefecture,30840
Ibaraki Prefecture,11401
Ishikawa Prefecture,5012
Iwate Prefecture,3880
Kagawa Prefecture,4553
Kagoshima Prefecture,6563
Kanagawa Prefecture,64532
Kumamoto Prefecture,9536
Kyoto Prefecture,16010
Kōchi Prefecture,2125
Mie Prefecture,9304
Miyagi Prefecture,15717
Miyazaki Prefecture,4280
Nagano Prefecture,8360
Nagasaki Prefecture,7070
Nara Prefecture,7063
Niigata Prefecture,7048
Okayama Prefecture,8584
Okinawa Prefecture,8027
Osaka Prefecture,66039
Saga Prefecture,5117
Saitama Prefecture,31769
Shiga Prefecture,6564
Shimane Prefecture,2567
Shizuoka Prefecture,18848
Tochigi Prefecture,12216
Tokushima Prefecture,2752
Tokyo,103742
Tottori Prefecture,2506
Toyama Prefecture,5477
Unknown,147
Wakayama Prefecture,4582
Yamagata Prefecture,3787
Yamaguchi Prefecture,5191
Yamanashi Prefecture,4505
Ōita Prefecture,6195
