Location name,Amount spent (IDR)
Aceh,2330371
Bali,3199471
Bangka–Belitung Islands,515827
Banten,4747769
Bengkulu,794450
Central Java,22971416
Central Kalimantan,902396
Central Sulawesi,1650129
East Java,25063417
East Kalimantan,2841603
East Nusa Tenggara,2897119
Gorontalo,1428018
Jakarta,23729788
Jambi,1511363
Lampung,3635581
Maluku,1158764
North Kalimantan,418288
North Maluku,673571
North Sulawesi,2588885
North Sumatra,6706241
Papua (province),935020
Riau,2933334
Riau Islands Province,1208397
South Kalimantan,1743303
South Sulawesi,4931412
South Sumatra,3480505
Southeast Sulawesi,1570109
Special Region of Yogyakarta,1979497
Unknown,12394
West Java,21804465
West Kalimantan,2343623
West Nusa Tenggara,2818968
West Papua,514891
West Sulawesi,537267
West Sumatra,2007167
