Location name,Amount spent (COP)
Amazonas,1778
Antioquia,12121815
Arauca,36968
Atlantico,685263
Bolivar,238168
Boyaca,462499
Caldas,403341
Caqueta,177071
Casanare,197359
Cauca,323766
Cesar,286760
Choco,54858
Cordoba,417038
Cundinamarca,1045516
Distrito Especial,3407354
Guainia,6431
Guaviare,23182
Huila,793145
La Guajira,51279
Magdalena,355412
Meta,803780
Narino,141372
Norte de Santander,910604
Putumayo,210969
Quindio,163442
Risaralda,1569898
San Andres y Providencia,6095
Santander,1570222
Sucre,495897
Tolima,518943
Unknown,332
Valle del Cauca,6029762
Vaupes,383
Vichada,1046
