Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,375
Apurímac Region,127
Arequipa Region,423
Ayacucho Region,214
Cajamarca Region,335
Callao,247
Cusco Region,406
Huancavelica Region,≤100
Huánuco Region,188
Ica Region,340
Junín Region,384
La Libertad Region,549
Lambayeque Region,359
Lima Region,3066
Loreto Region,170
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,448
Puno Region,391
San Martín Region,259
Tacna Region,127
Tumbes Region,≤100
Ucayali Region,160
Unknown,≤100
