Location name,Amount spent (DKK)
Capital Region of Denmark,65501
Central Denmark Region,33211
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,15150
Region of Southern Denmark,29876
Unknown,≤100
Zealand Region,18429
