Location name,Amount spent (NZD)
Auckland Region,2478
Bay of Plenty Region,431
Canterbury,895
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,250
Manawatu-Wanganui,405
Marlborough Region,≤100
Nelson Province,113
Niue,≤100
Northland Region,249
Otago,363
Southland,140
Taranaki,183
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,708
Wellington Region,830
West Coast,≤100
