Location name,Amount spent (NZD)
Auckland Region,6748
Bay of Plenty Region,937
Canterbury,2446
Cook Islands,≤100
Gisborne District,139
Hawke's Bay,1350
Manawatu-Wanganui,958
Marlborough Region,111
Nelson Province,237
Northland Region,524
Otago,579
Southland,280
Taranaki,416
Tasman District,134
Unknown,≤100
Waikato,1607
Wellington Region,2750
West Coast,≤100
