Location name,Amount spent (AOA)
Bengo Province,125
Benguela Province,5424
Bié Province,1116
Cabinda Province,2334
Cuando Cubango Province,≤100
Cuanza Norte Province,833
Cuanza Sul Province,942
Cunene Province,≤100
Huambo Province,3708
Huíla Province,2841
Luanda Province,42408
Lunda Norte Province,766
Lunda Sul Province,1025
Malanje Province,683
Moxico Province,658
Namibe Province,1217
Unknown,≤100
Uíge Province,958
Zaire Province,708
