Location name,Amount spent (PYG)
Alto Paraguay Department,128891
Alto Paraná Department,8347002
Amambay Department,871434
Asunción,8621428
Boquerón department,301353
Caaguazú Department,2834977
Caazapá Department,456470
Canindeyú Department,845329
Central Department,19801487
Concepción Department (Paraguay),909338
Cordillera Department,1700814
Guairá Department,975613
Itapúa Department,4025807
Misiones Department,1327057
Paraguarí Department,894508
Presidente Hayes Department,454177
San Pedro Department,1025622
Unknown,1847
Ñeembucú Department,725197
