Location name,Amount spent (MXN)
Aguascalientes,3407
Baja California,27186
Baja California Sur,3380
Campeche,25280
Chiapas,16190
Chihuahua,18970
Coahuila de Zaragoza,100400
Colima,6594
Distrito Federal,111806
Durango,7425
Guanajuato,24345
Guerrero,8936
Hidalgo,6854
Jalisco,30115
Michoacán de Ocampo,22014
Morelos,11652
Nayarit,2468
Nuevo León,101668
Oaxaca,14784
Puebla,37534
Querétaro Arteaga,13647
Quintana Roo,35209
San Luis Potosi,19128
Sinaloa,6019
Sonora,15181
State of Mexico,208728
Tabasco,6975
Tamaulipas,27376
Tlaxcala,3104
Unknown,≤100
Veracruz,23024
Yucatán,28859
Zacatecas,4241
