Location name,Amount spent (SAR)
'Asir Region,237
Al Bahah Region,≤100
Al Jawf Region,102
Al Madinah Region,455
Al-Qassim Province,300
Eastern Province,1955
Ha'il Region,121
Jizan Region,138
Makkah Region,2568
Najran Region,≤100
Northern Borders Region,≤100
Riyadh Region,2963
Tabuk Region,174
Unknown,≤100
