Location name,Amount spent (CZK)
Central Bohemian Region,5713
Hradec Králové Region,2775
Karlovy Vary Region,1324
Liberec Region,2519
Moravian-Silesian Region,5464
Olomouc Region,3541
Pardubice Region,2759
Plzeň Region,6573
Prague,12955
South Bohemian Region,3058
South Moravian Region,6616
Unknown,≤100
Vysočina Region,2374
Zlín Region,3265
Ústí nad Labem Region,4513
