Location name,Amount spent (JPY)
Aichi Prefecture,30074
Akita Prefecture,2292
Aomori Prefecture,2775
Chiba Prefecture,22422
Ehime Prefecture,4492
Fukui Prefecture,3069
Fukuoka Prefecture,46248
Fukushima Prefecture,4775
Gifu Prefecture,7330
Gunma Prefecture,6168
Hiroshima Prefecture,11178
Hokkaido,16845
Hyōgo Prefecture,18465
Ibaraki Prefecture,11277
Ishikawa Prefecture,4198
Iwate Prefecture,2607
Kagawa Prefecture,3842
Kagoshima Prefecture,5212
Kanagawa Prefecture,54330
Kumamoto Prefecture,8868
Kyoto Prefecture,13638
Kōchi Prefecture,2408
Mie Prefecture,6550
Miyagi Prefecture,13073
Miyazaki Prefecture,4426
Nagano Prefecture,7423
Nagasaki Prefecture,7420
Nara Prefecture,4797
Niigata Prefecture,6136
Okayama Prefecture,7024
Okinawa Prefecture,6503
Osaka Prefecture,20032
Saga Prefecture,4511
Saitama Prefecture,25567
Shiga Prefecture,5356
Shimane Prefecture,2024
Shizuoka Prefecture,13875
Tochigi Prefecture,6354
Tokushima Prefecture,2453
Tokyo,179022
Tottori Prefecture,1324
Toyama Prefecture,3692
Unknown,9392
Wakayama Prefecture,3394
Yamagata Prefecture,2932
Yamaguchi Prefecture,4937
Yamanashi Prefecture,3098
Ōita Prefecture,5499
