Location name,Amount spent (EGP)
Al Sharqia Governorate,1967
Alexandria Governorate,1727
Aswan Governorate,207
Asyut Governorate,539
Beheira Governorate,704
Beni Suef Governorate,306
Cairo Governorate,4494
Dakahlia Governorate,1727
Damietta Governorate,574
Faiyum Governorate,303
Gharbia Governorate,921
Giza Governorate,1353
Ismailia Governorate,521
Kafr el-Sheikh Governorate,664
Luxor Governorate,165
Matrouh Governorate,≤100
Minya Governorate,579
Monufia Governorate,926
New Valley Governorate,≤100
North Sinai Governorate,105
Port Said Governorate,259
Qalyubia Governorate,943
Qena Governorate,374
Red Sea Governorate,136
Sohag Governorate,593
South Sinai Governorate,≤100
Suez Governorate,182
Unknown,≤100
