Location name,Amount spent (HUF)
Baranya County,127979
Borsod-Abaúj-Zemplén County,187311
Budapest,849478
Bács-Kiskun County,153318
Békés County,106897
Csongrád County,183995
Fejér County,148402
Győr-Moson-Sopron County,155604
Hajdú-Bihar County,219990
Heves County,116687
Jász-Nagykun-Szolnok County,111714
Komárom-Esztergom County,92963
Nógrád County,55492
Pest County,313859
Somogy County,94283
Szabolcs-Szatmár-Bereg County,158894
Tolna County,81307
Unknown,≤100
Vas County,86354
Veszprém County,102342
Zala County,86461
