Location name,Amount spent (PYG)
Alto Paraguay Department,24391
Alto Paraná Department,1878500
Amambay Department,179723
Asunción,1533059
Boquerón department,80044
Caaguazú Department,651065
Caazapá Department,125749
Canindeyú Department,127950
Central Department,5230089
Concepción Department (Paraguay),220630
Cordillera Department,481390
Guairá Department,246809
Itapúa Department,884756
Misiones Department,328356
Paraguarí Department,179013
Presidente Hayes Department,155279
San Pedro Department,228063
Unknown,933
Ñeembucú Department,141785
