Location name,Amount spent (GTQ)
Alta Verapaz Department,1109
Baja Verapaz Department,411
Chimaltenango Department,915
Chiquimula Department,659
El Progreso Department,304
Escuintla Department,1837
Guatemala Department,19121
Huehuetenango Department,1851
Izabal Department,1103
Jalapa Department,439
Jutiapa Department,692
Petén Department,694
Quetzaltenango Department,2220
Quiché Department,1155
Retalhuleu Department,577
Sacatepéquez Department,838
San Marcos Department,3531
Santa Rosa Department,533
Sololá Department,671
Suchitepéquez Department,772
Totonicapán Department,560
Unknown,≤100
Zacapa Department,449
