Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1242
Bicol Region,7840
Cagayan Valley,3063
Calabarzon,15369
Caraga,2685
Central Luzon,10798
Central Visayas,8032
Cordillera Administrative Region,1456
Davao Region,4410
Eastern Visayas,4374
Ilocos Region,4623
Metro Manila,25383
Mimaropa,2961
Northern Mindanao,5194
Soccsksargen,3871
Unknown,≤100
Western Visayas,10230
Zamboanga Peninsula,3071
