Location name,Amount spent (MXN)
Aguascalientes,26783
Baja California,54131
Baja California Sur,14985
Campeche,21323
Chiapas,56988
Chihuahua,43181
Coahuila de Zaragoza,33866
Colima,12501
Distrito Federal,174111
Durango,23814
Guanajuato,68688
Guerrero,19731
Hidalgo,26845
Jalisco,103645
Michoacán de Ocampo,44560
Morelos,43231
Nayarit,10956
Nuevo León,347033
Oaxaca,26479
Puebla,99884
Querétaro Arteaga,43716
Quintana Roo,48893
San Luis Potosi,31188
Sinaloa,24024
Sonora,27093
State of Mexico,133702
Tabasco,23027
Tamaulipas,60948
Tlaxcala,11208
Unknown,≤100
Veracruz,57454
Yucatán,94219
Zacatecas,22143
