Location name,Amount spent (DKK)
Capital Region of Denmark,46905
Central Denmark Region,23802
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9669
Region of Southern Denmark,20153
Unknown,1085
Zealand Region,13839
