Location name,Amount spent (PKR)
Azad Kashmir,657
Balochistan,897
Federally Administered Tribal Areas,248
Gilgit-Baltistan,445
Islamabad Capital Territory,1283
Khyber Pakhtunkhwa,6794
Punjab,18543
Sindh,73100
Unknown,≤100
